;KBP1437D;KBP1438D;KBP1440D;KBP1456D;KBP1457D;KBP1481D;KBP1482D;KBP1484D
19980228;0;;;;;0;0;
19980302;0;;;;;0;0;
19980303;0;;;;;0;0;
19980304;0;;;;;0;0;
19980305;0;;;;;0;0;
19980306;0;;;;;0;0;
19980307;0;;;;;0;0;
19980309;5000;;;;;0;33;
19980310;800;;;;;0;233;
19980311;900;;;;;0;0;
19980312;400;;;;;0;545;
19980313;900;;;;;0;11;
19980314;0;;;;;0;4;
19980316;1300;;;;;0;357;
19980317;1800;;;;;0;11;
19980318;250;;;;;0;54;
19980319;0;;;;;0;41;
19980320;500;;;;;0;345;
19980321;0;;;;;0;0;
19980323;1100;;;;;0;1135;
19980324;1800;;;;;0;0;
19980325;600;;;;;0;0;
19980326;0;;;;;0;0;
19980327;1000;;;;;0;98;
19980328;0;;;;;0;3;
19980330;800;;;;;0;15;
19980331;1200;;;;;0;243;
19980401;2400;;;;;0;17;
19980402;0;;;;;0;629;
19980403;1600;;;;;0;402;
19980404;0;;;;;0;316;
19980406;800;;;;;0;109;
19980407;1700;;;;;0;115;
19980408;2500;;;;;0;0;
19980409;1950;;;;;0;31;
19980410;0;;;;;0;0;
19980411;0;;;;;0;0;
19980413;0;;;;;0;0;
19980414;1800;;;;;0;0;
19980415;2300;;;;;0;0;
19980416;1000;;;;;0;554;
19980417;0;;;;;0;698;
19980418;0;;;;;0;1162;
19980420;500;;;;;0;1573;
19980421;2300;;;;;0;596;
19980422;3200;;;;;0;0;
19980423;0;;;;;0;285;
19980424;0;;;;;0;0;
19980425;0;;;;;0;0;
19980427;0;;;;;0;0;
19980428;2200;;;;;0;307;
19980429;1900;;;;;0;428;
19980430;0;;;;;0;42;
19980501;0;;;;;0;0;
19980502;0;;;;;0;9;
19980504;0;;;;;0;0;
19980505;2900;;;;;0;22;
19980506;2400;;;;;0;0;
19980507;600;;;;;0;0;
19980508;500;;;;;0;0;
19980509;0;;;;;0;0;
19980511;400;;;;;0;0;
19980512;2400;;;;;0;0;
19980513;800;;;;;0;150;
19980514;1500;;;;;0;1287;
